payee_name,part_postcode,town,county_council,parliamentary_constituency,scheme,scheme_detail,activity_level,financial_year,amount
Parker Swift,WR2,"Worcester, unparished area",Worcestershire,Worcester,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4514
Parker Swift,WR2,"Worcester, unparished area",Worcestershire,Worcester,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2354
Parker Swift,WR2,"Worcester, unparished area",Worcestershire,Worcester,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3535
Parker Swift,WR2,"Worcester, unparished area",Worcestershire,Worcester,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2085
Parker Swift,WR2,"Worcester, unparished area",Worcestershire,Worcester,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1679
George Mohr,TS3,"Middlesbrough, unparished area",None,Middlesbrough South and East Cleveland,Farming Equipment and Technology Fund,General,Medium,21/22,3304
George Mohr,TS3,"Middlesbrough, unparished area",None,Middlesbrough South and East Cleveland,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1428
George Mohr,TS3,"Middlesbrough, unparished area",None,Middlesbrough South and East Cleveland,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4628
Mathilda Emard,SE26,"Lewisham, unparished area",None,Lewisham West and Penge,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4909
Mathilda Emard,SE26,"Lewisham, unparished area",None,Lewisham West and Penge,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4699
Maida Denesik,CO7,Great Bromley,Essex,Harwich and North Essex,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4166
Maida Denesik,CO7,Great Bromley,Essex,Harwich and North Essex,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,2307
Moriah Smith,PA15,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2548
Moriah Smith,PA15,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Moriah Smith,PA15,None,None,Inverclyde,Farming Equipment and Technology Fund,Forestry,Medium,21/22,1938
Moriah Smith,PA15,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1309
Moriah Smith,PA15,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4422
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3037
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1511
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1924
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4262
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2833
